0,128,1,,120,1,1,,180,1,1,,0,51,1,,120,171,1,,,60,66,1,,260,266,1
0,1,1,,120,51,1,,180,51,1,,0,5,1,,120,125,1,,,60,99,1,,260,299,1
0,145,1,,120,35,1,,180,35,1,,0,56,1,,120,176,1,,,60,85,1,,260,285,1
0,195,1,,120,52,1,,180,52,1,,0,74,1,,120,274,1,,,60,53,1,,260,173,1
0,4,1,,120,165,1,,180,225,1,,0,93,1,,120,293,1,,,60,6,1,,260,126,1
0,116,1,,120,101,1,,180,101,1,,1,83,1,,121,283,1,,,61,5,1,,261,125,1
0,38,1,,120,85,1,,180,85,1,,1,53,1,,121,173,1,,,61,73,1,,261,273,1
0,166,1,,120,86,1,,180,86,1,,1,9,1,,121,129,1,,,61,58,1,,261,178,1
0,59,1,,120,54,1,,180,54,1,,1,11,1,,121,131,1,,,61,44,1,,261,164,1
0,191,1,,120,139,1,,180,199,1,,1,78,1,,121,278,1,,,61,77,1,,261,277,1
1,114,1,,121,97,1,,181,97,1,,2,32,1,,122,152,1,,,62,48,1,,262,168,1
1,67,1,,121,145,1,,181,205,1,,2,36,1,,122,156,1,,,62,4,1,,262,124,1
1,165,1,,121,194,1,,181,254,1,,2,24,1,,122,144,1,,,62,6,1,,262,126,1
1,150,1,,121,147,1,,181,207,1,,2,57,1,,122,177,1,,,62,7,1,,262,127,1
1,168,1,,121,67,1,,181,67,1,,2,47,1,,122,167,1,,,62,8,1,,262,128,1
1,9,1,,121,183,1,,181,243,1,,3,1,1,,123,121,1,,,63,80,1,,263,280,1
1,125,1,,121,185,1,,181,245,1,,3,4,1,,123,124,1,,,63,97,1,,263,297,1
1,189,1,,121,124,1,,181,184,1,,3,52,1,,123,172,1,,,63,99,1,,263,299,1
1,95,1,,121,61,1,,181,61,1,,3,29,1,,123,149,1,,,63,74,1,,263,274,1
1,63,1,,121,62,1,,181,62,1,,3,31,1,,123,151,1,,,63,77,1,,263,277,1
2,66,1,,122,192,1,,182,252,1,,4,0,1,,124,120,1,,,64,16,1,,264,136,1
2,117,1,,122,160,1,,182,220,1,,4,96,1,,124,296,1,,,64,81,1,,264,281,1
2,70,1,,122,22,1,,182,22,1,,4,97,1,,124,297,1,,,64,10,1,,264,130,1
2,105,1,,122,118,1,,182,118,1,,4,94,1,,124,294,1,,,64,94,1,,264,294,1
2,185,1,,122,86,1,,182,86,1,,4,78,1,,124,278,1,,,64,47,1,,264,167,1
2,41,1,,122,71,1,,182,71,1,,5,17,1,,125,137,1,,,65,98,1,,265,298,1
2,91,1,,122,8,1,,182,8,1,,5,1,1,,125,121,1,,,65,3,1,,265,123,1
